# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Avg. Session Duration
3/19/13,00:13:29
3/20/13,00:13:04
3/21/13,00:13:40
3/22/13,00:12:34
3/23/13,00:12:13
3/24/13,00:13:06
3/25/13,00:12:39
3/26/13,00:11:34
3/27/13,00:12:32
3/28/13,00:12:35
3/29/13,00:15:12
3/30/13,00:14:06
3/31/13,00:15:22
4/1/13,00:12:22
4/2/13,00:12:59
4/3/13,00:12:38
4/4/13,00:12:24
4/5/13,00:11:07
4/6/13,00:12:00
4/7/13,00:14:27
4/8/13,00:12:19
4/9/13,00:10:50
4/10/13,00:11:18
4/11/13,00:12:35
4/12/13,00:12:22
4/13/13,00:13:53
4/14/13,00:11:36
4/15/13,00:13:17
4/16/13,00:12:10
4/17/13,00:14:12
4/18/13,00:11:32
4/19/13,00:09:55
4/20/13,00:11:26
4/21/13,00:11:35
4/22/13,00:11:48
4/23/13,00:12:58
4/24/13,00:13:09
4/25/13,00:13:32
4/26/13,00:12:38
4/27/13,00:13:31
4/28/13,00:14:00
4/29/13,00:12:53
4/30/13,00:13:43
5/1/13,00:14:17
5/2/13,00:13:45
5/3/13,00:13:44
5/4/13,00:12:49
5/5/13,00:12:14
5/6/13,00:13:13
5/7/13,00:16:00
5/8/13,00:17:09
5/9/13,00:19:04
5/10/13,00:16:48
5/11/13,00:17:46
5/12/13,00:18:52
5/13/13,00:16:04
5/14/13,00:16:11
5/15/13,00:17:04
5/16/13,00:14:02
5/17/13,00:14:32
5/18/13,00:16:10
5/19/13,00:13:25
5/20/13,00:17:02
5/21/13,00:16:19
5/22/13,00:18:37
5/23/13,00:14:07
5/24/13,00:12:44
5/25/13,00:18:04
5/26/13,00:18:18
5/27/13,00:15:35
5/28/13,00:18:30
5/29/13,00:16:56
5/30/13,00:15:59
5/31/13,00:13:10
6/1/13,00:11:09
6/2/13,00:17:58
6/3/13,00:17:04
6/4/13,00:17:14
6/5/13,00:17:29
6/6/13,00:22:00
6/7/13,00:18:24
6/8/13,00:19:03
6/9/13,00:22:36
6/10/13,00:21:13
6/11/13,00:19:21
6/12/13,00:17:22
6/13/13,00:18:31
6/14/13,00:18:09
6/15/13,00:17:35
6/16/13,00:16:01
6/17/13,00:14:41
6/18/13,00:21:43
6/19/13,00:15:12
6/20/13,00:14:55
6/21/13,00:17:20
6/22/13,00:14:13
6/23/13,00:17:38
6/24/13,00:15:55
6/25/13,00:19:35
6/26/13,00:20:16
6/27/13,00:19:39
6/28/13,00:16:57
6/29/13,00:18:33
6/30/13,00:14:27
7/1/13,00:14:07
7/2/13,00:17:11
7/3/13,00:16:46
7/4/13,00:18:25
7/5/13,00:15:53
7/6/13,00:15:56
7/7/13,00:11:02
7/8/13,00:11:58
7/9/13,00:14:35
7/10/13,00:16:13
7/11/13,00:17:24
7/12/13,00:13:13
7/13/13,00:16:30
7/14/13,00:15:43
